iter	Passed	Remaining
0	5	537
1	9	488
2	14	461
3	18	452
4	23	440
5	27	432
6	32	433
7	37	432
8	43	437
9	48	432
10	52	427
11	57	424
12	62	418
13	67	412
14	71	405
15	75	398
16	80	390
17	84	384
18	88	378
19	93	372
20	97	366
21	102	363
22	106	357
23	111	351
24	115	347
25	120	342
26	124	337
27	130	334
28	134	330
29	139	325
30	146	326
31	151	321
32	155	315
33	159	310
34	163	304
35	166	296
36	169	288
37	171	280
38	173	271
39	175	263
40	177	256
41	178	246
42	180	238
43	181	231
44	183	224
45	185	217
46	186	210
47	188	203
48	189	197
49	190	190
50	192	184
51	193	178
52	194	172
53	195	166
54	196	160
55	198	155
56	199	150
57	200	145
58	201	140
59	203	135
60	204	130
61	205	126
62	206	121
63	208	117
64	209	112
65	210	108
66	212	104
67	213	100
68	214	96
69	216	92
70	217	88
71	218	85
72	219	81
73	221	77
74	222	74
75	223	70
76	225	67
77	227	64
78	228	60
79	229	57
80	231	54
81	232	51
82	233	47
83	235	44
84	236	41
85	237	38
86	239	35
87	240	32
88	241	29
89	243	27
90	244	24
91	245	21
92	247	18
93	248	15
94	249	13
95	250	10
96	252	7
97	253	5
98	254	2
99	255	0
