iter	Passed	Remaining
0	196	195835
1	204	102058
2	209	69595
3	214	53420
4	220	43928
5	225	37404
6	231	32887
7	236	29349
8	241	26591
9	246	24417
10	251	22628
11	256	21155
12	261	19847
13	264	18638
14	267	17560
15	271	16687
16	274	15852
17	276	15082
18	278	14385
19	280	13751
20	282	13179
21	284	12665
22	286	12173
23	288	11725
24	290	11323
25	291	10935
26	293	10572
27	294	10229
28	295	9909
29	297	9610
30	298	9345
31	300	9091
32	302	8852
33	304	8638
34	305	8435
35	307	8229
36	308	8036
37	310	7852
38	311	7679
39	314	7549
40	315	7391
41	317	7235
42	318	7085
43	319	6946
44	321	6813
45	322	6688
46	324	6571
47	325	6457
48	328	6373
49	329	6266
50	331	6169
51	333	6072
52	334	5975
53	335	5885
54	337	5799
55	339	5718
56	340	5637
57	342	5560
58	344	5492
59	345	5415
60	346	5340
61	348	5268
62	349	5199
63	350	5130
64	351	5060
65	352	4993
66	354	4929
67	355	4876
68	357	4821
69	358	4764
70	359	4707
71	361	4653
72	362	4599
73	363	4548
74	364	4497
75	365	4448
76	366	4398
77	368	4350
78	369	4303
79	371	4273
80	373	4234
81	374	4193
82	375	4146
83	376	4109
84	378	4069
85	379	4034
86	381	3999
87	382	3968
88	384	3939
89	387	3914
90	388	3880
91	389	3846
92	390	3812
93	392	3779
94	393	3747
95	394	3717
96	395	3684
97	396	3652
98	397	3621
99	399	3598
100	401	3573
101	402	3546
102	404	3518
103	405	3491
104	406	3464
105	407	3439
106	409	3413
107	410	3387
108	411	3361
109	412	3335
110	413	3312
111	415	3295
112	417	3273
113	418	3251
114	419	3228
115	420	3206
116	421	3181
117	422	3161
118	424	3140
119	425	3118
120	426	3097
121	427	3075
122	429	3059
123	430	3042
124	431	3022
125	432	3002
126	433	2981
127	434	2962
128	436	2943
129	437	2925
130	438	2906
131	439	2888
132	440	2870
133	441	2853
134	442	2837
135	445	2827
136	446	2811
137	447	2794
138	448	2778
139	449	2761
140	450	2746
141	451	2727
142	452	2712
143	453	2696
144	454	2682
145	456	2668
146	457	2655
147	461	2654
148	462	2641
149	463	2629
150	465	2615
151	466	2603
152	468	2595
153	470	2585
154	471	2573
155	475	2570
156	476	2560
157	478	2549
158	479	2538
159	481	2526
160	481	2511
161	483	2498
162	484	2487
163	485	2475
164	486	2462
165	487	2450
166	489	2440
167	490	2428
168	491	2416
169	492	2405
170	493	2393
171	494	2381
172	495	2370
173	496	2359
174	498	2348
175	499	2337
176	500	2325
177	501	2315
178	502	2304
179	504	2297
180	505	2287
181	506	2276
182	507	2265
183	508	2255
184	509	2245
185	510	2235
186	512	2226
187	513	2216
188	514	2206
189	515	2196
190	516	2187
191	517	2179
192	519	2172
193	520	2163
194	522	2155
195	523	2146
196	524	2138
197	525	2129
198	527	2121
199	528	2113
200	529	2104
201	530	2095
202	531	2086
203	533	2080
204	534	2072
205	535	2063
206	536	2054
207	537	2046
208	538	2038
209	539	2030
210	540	2022
211	541	2014
212	542	2006
213	544	1998
214	545	1990
215	546	1982
216	547	1977
217	549	1969
218	550	1962
219	551	1954
220	552	1947
221	553	1940
222	554	1933
223	555	1926
224	557	1919
225	558	1912
226	559	1905
227	560	1898
228	562	1894
229	564	1889
230	565	1882
231	566	1876
232	568	1870
233	569	1863
234	570	1856
235	571	1850
236	572	1843
237	573	1837
238	574	1830
239	576	1824
240	577	1820
241	579	1815
242	580	1809
243	581	1803
244	583	1796
245	584	1791
246	585	1784
247	586	1778
248	587	1772
249	588	1766
250	590	1760
251	591	1754
252	593	1752
253	594	1746
254	595	1741
255	597	1735
256	601	1738
257	602	1732
258	603	1726
259	604	1720
260	605	1715
261	609	1715
262	610	1711
263	611	1706
264	613	1701
265	614	1696
266	616	1691
267	618	1688
268	619	1683
269	620	1678
270	623	1676
271	624	1671
272	625	1666
273	627	1661
274	628	1656
275	629	1651
276	630	1646
277	632	1641
278	633	1636
279	634	1632
280	636	1629
281	638	1625
282	639	1620
283	640	1615
284	642	1610
285	643	1605
286	644	1601
287	645	1596
288	647	1592
289	648	1587
290	649	1583
291	652	1582
292	654	1578
293	655	1574
294	656	1569
295	658	1565
296	659	1560
297	660	1555
298	661	1551
299	662	1546
300	664	1542
301	665	1537
302	666	1534
303	668	1530
304	669	1525
305	670	1521
306	671	1516
307	672	1511
308	673	1507
309	675	1502
310	676	1498
311	677	1493
312	678	1489
313	679	1485
314	681	1481
315	682	1477
316	683	1473
317	684	1469
318	686	1464
319	687	1460
320	688	1456
321	689	1451
322	690	1447
323	692	1443
324	693	1440
325	695	1437
326	696	1434
327	698	1431
328	699	1427
329	701	1423
330	702	1419
331	703	1415
332	704	1411
333	706	1408
334	707	1403
335	708	1399
336	709	1396
337	711	1393
338	712	1389
339	713	1384
340	714	1380
341	715	1376
342	716	1372
343	717	1368
344	719	1365
345	720	1361
346	721	1357
347	722	1353
348	723	1349
349	724	1346
350	726	1343
351	727	1339
352	728	1335
353	729	1332
354	731	1328
355	732	1324
356	733	1320
357	734	1317
358	735	1313
359	736	1309
360	737	1306
361	739	1302
362	740	1299
363	741	1296
364	743	1292
365	744	1288
366	745	1285
367	746	1281
368	747	1278
369	748	1275
370	750	1271
371	751	1268
372	752	1264
373	753	1261
374	755	1259
375	757	1256
376	758	1253
377	759	1249
378	760	1246
379	762	1244
380	764	1241
381	765	1238
382	766	1234
383	767	1231
384	769	1229
385	771	1226
386	772	1223
387	773	1220
388	775	1217
389	777	1216
390	779	1213
391	780	1210
392	781	1207
393	782	1204
394	784	1202
395	786	1199
396	787	1196
397	789	1193
398	790	1190
399	791	1187
400	793	1184
401	794	1181
402	795	1178
403	796	1175
404	798	1172
405	800	1170
406	801	1167
407	802	1164
408	803	1161
409	805	1158
410	806	1156
411	808	1153
412	809	1150
413	810	1147
414	812	1145
415	814	1143
416	816	1140
417	818	1139
418	820	1137
419	824	1139
420	826	1136
421	828	1134
422	831	1133
423	833	1131
424	834	1129
425	836	1126
426	837	1123
427	838	1120
428	840	1118
429	841	1115
430	844	1115
431	846	1112
432	847	1110
433	849	1107
434	850	1105
435	852	1102
436	854	1100
437	855	1098
438	857	1095
439	861	1096
440	863	1094
441	864	1091
442	865	1088
443	867	1085
444	868	1083
445	870	1080
446	872	1079
447	874	1078
448	876	1075
449	877	1072
450	878	1069
451	879	1066
452	881	1063
453	882	1061
454	883	1058
455	884	1055
456	886	1052
457	888	1051
458	889	1048
459	891	1046
460	892	1043
461	894	1041
462	896	1039
463	898	1037
464	901	1036
465	904	1036
466	905	1033
467	907	1031
468	909	1029
469	910	1026
470	912	1025
471	914	1023
472	916	1021
473	918	1019
474	920	1017
475	922	1015
476	923	1013
477	926	1011
478	928	1009
479	929	1007
480	931	1004
481	933	1002
482	934	1000
483	936	998
484	937	995
485	939	993
486	940	991
487	942	988
488	943	986
489	945	983
490	946	981
491	948	979
492	950	977
493	951	974
494	953	972
495	957	973
496	962	974
497	964	972
498	965	969
499	966	966
500	968	964
501	969	962
502	971	959
503	972	957
504	974	954
505	975	952
506	977	950
507	979	948
508	980	945
509	982	943
510	983	941
511	984	938
512	986	936
513	988	934
514	989	932
515	992	930
516	993	928
517	994	925
518	996	923
519	999	922
520	1001	920
521	1002	917
522	1004	915
523	1006	914
524	1008	912
525	1010	910
526	1012	908
527	1014	906
528	1015	904
529	1017	901
530	1018	899
531	1021	898
532	1022	896
533	1025	894
534	1028	893
535	1029	891
536	1031	889
537	1032	886
538	1034	884
539	1037	883
540	1039	881
541	1040	879
542	1042	877
543	1044	875
544	1045	873
545	1047	871
546	1049	869
547	1052	867
548	1054	865
549	1055	863
550	1057	861
551	1060	860
552	1062	858
553	1063	856
554	1065	854
555	1067	852
556	1069	850
557	1070	847
558	1071	845
559	1073	843
560	1075	841
561	1077	839
562	1079	837
563	1080	835
564	1082	833
565	1084	831
566	1085	829
567	1086	826
568	1088	824
569	1090	822
570	1091	820
571	1093	818
572	1095	816
573	1096	814
574	1098	811
575	1099	809
576	1101	807
577	1102	804
578	1103	802
579	1105	800
580	1106	798
581	1108	796
582	1110	794
583	1111	792
584	1113	789
585	1114	787
586	1116	785
587	1117	783
588	1119	780
589	1120	778
590	1121	776
591	1123	774
592	1125	772
593	1127	770
594	1128	768
595	1129	765
596	1130	763
597	1132	761
598	1134	759
599	1135	756
600	1136	754
601	1139	753
602	1140	750
603	1141	748
604	1143	746
605	1144	744
606	1146	742
607	1147	739
608	1148	737
609	1149	735
610	1150	732
611	1152	730
612	1154	728
613	1155	726
614	1157	724
615	1158	722
616	1160	720
617	1161	718
618	1163	715
619	1164	713
620	1165	711
621	1167	709
622	1168	707
623	1170	705
624	1171	702
625	1172	700
626	1174	698
627	1175	696
628	1177	694
629	1178	692
630	1180	690
631	1182	688
632	1183	686
633	1185	684
634	1186	682
635	1188	680
636	1189	677
637	1190	675
638	1192	673
639	1193	671
640	1195	669
641	1197	667
642	1198	665
643	1199	663
644	1201	661
645	1202	659
646	1204	656
647	1205	655
648	1207	653
649	1209	651
650	1210	649
651	1212	647
652	1213	645
653	1215	643
654	1217	641
655	1218	639
656	1219	636
657	1221	634
658	1222	632
659	1224	630
660	1226	628
661	1227	626
662	1229	624
663	1230	622
664	1232	620
665	1233	618
666	1234	616
667	1236	614
668	1237	612
669	1238	610
670	1240	608
671	1242	606
672	1243	604
673	1245	602
674	1246	600
675	1247	598
676	1249	595
677	1250	593
678	1251	591
679	1253	589
680	1254	587
681	1256	585
682	1258	583
683	1259	581
684	1260	579
685	1262	577
686	1263	575
687	1265	573
688	1267	571
689	1268	569
690	1270	568
691	1272	566
692	1273	564
693	1275	562
694	1276	560
695	1277	558
696	1279	556
697	1280	554
698	1281	552
699	1283	550
700	1285	548
701	1287	546
702	1288	544
703	1289	542
704	1291	540
705	1292	538
706	1293	536
707	1295	534
708	1296	532
709	1297	529
710	1299	528
711	1300	526
712	1302	524
713	1303	522
714	1305	520
715	1306	518
716	1307	516
717	1309	514
718	1310	512
719	1311	510
720	1312	508
721	1315	506
722	1316	504
723	1317	502
724	1319	500
